Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-06-13,2279.0,2299.5,2299.5,2265.5,9929.0,-0.9991,1.4831,3416.0,3236.99,3194.17,2775.63,25201.2,7695.7,5606.89,402.78,30725.15,1063.49,65.19,14649.79
2018-06-14,2252.5,2275.0,2280.0,2252.0,8460.0,-0.989,1.2286,2758.0,3239.28,3188.26,2782.49,25175.31,7761.04,5561.52,402.61,30440.17,1075.04,64.64,14599.16
2018-06-15,2212.5,2252.5,2258.0,2200.5,27457.0,-1.9282,2.5527,5048.0,3236.78,3165.0,2779.66,25090.48,7746.38,5495.2,400.68,30309.49,1069.46,63.13,14332.56
2018-06-19,2179.0,2228.5,2229.5,2167.5,13268.0,-1.8247,2.7828,89199.0,3145.85,3045.66,2762.59,24700.21,7725.59,5247.18,395.67,29468.15,1050.75,62.16,14118.41
2018-06-20,2175.0,2176.5,2198.5,2165.0,10274.0,0.1842,1.5374,2517.0,3160.29,3053.89,2767.32,24657.8,7781.52,5295.71,397.17,29696.17,1048.83,62.02,14221.32
2018-06-21,2187.5,2171.0,2193.0,2162.0,8750.0,0.9926,1.4253,2196.0,3157.59,3012.08,2749.76,24461.7,7712.95,5290.93,394.65,29296.05,1041.82,62.42,14206.5
2018-06-22,2176.5,2184.0,2188.5,2164.0,7584.0,-0.1147,1.12,3277.0,3167.5,3026.62,2754.88,24580.89,7692.82,5340.9,396.39,29338.7,1054.8,62.3,14232.61
2018-06-25,2149.5,2179.5,2185.5,2149.5,9909.0,-1.1724,1.654,3020.0,3150.43,2994.7,2717.07,24252.8,7532.01,5267.96,390.97,28961.39,1034.77,61.73,14157.92
2018-06-26,2194.0,2152.0,2195.0,2135.0,10314.0,1.8097,2.7913,3202.0,3140.21,2979.13,2723.06,24283.11,7561.63,5204.9,391.27,28881.4,1035.63,61.76,14061.46
2018-06-27,2165.0,2189.5,2203.5,2151.5,14687.0,0.3476,2.3701,3775.0,3144.89,2946.23,2699.63,24117.59,7445.09,5125.44,388.55,28356.26,1044.79,62.29,14202.4
2018-06-28,2153.0,2166.0,2177.0,2142.0,8224.0,-1.057,1.6166,2870.0,3163.79,2918.63,2716.31,24216.05,7503.68,5029.26,388.64,28497.32,1036.49,61.69,14212.42
2018-06-29,2132.0,2149.0,2168.5,2130.0,10692.0,-1.0673,1.7882,6561.0,3172.96,2981.99,2718.37,24271.41,7510.3,5169.92,391.34,28955.11,1044.81,61.04,14204.67
2018-07-03,2090.0,2112.0,2135.0,2083.0,18301.0,-0.3813,2.4598,5258.0,3152.08,2918.5,2713.22,24174.82,7502.67,5040.66,389.4,28545.57,1043.61,59.43,14055.52
2018-07-05,2080.0,2093.0,2112.0,2077.5,13618.0,-0.4308,1.6405,4396.0,3032.77,2862.99,2736.61,24356.74,7586.43,4907.16,391.41,28182.09,1050.13,59.36,13957.92
2018-07-06,2086.5,2083.0,2095.5,2071.0,11191.0,0.3125,1.1779,6209.0,3027.96,2877.01,2759.82,24456.48,7688.39,4921.84,394.52,28315.62,1053.74,59.34,14050.92
2018-07-09,2103.5,2084.0,2134.5,2083.5,12533.0,1.1298,2.4443,3526.0,3061.72,2948.18,2784.17,24776.59,7756.2,5044.55,398.01,28688.5,1059.06,60.48,14141.14
